Artikelcode;Onderdeel;Positie;Diameter 1;Diameter 2;Bouwgroep;Enkel / Dubbel;Materiaal;Materiaalcode;Serie;Variant / specificatie;Status
IS 5 M W5;Inbusbout;5;;;5;;W5;W5;Licht (standaard);;OK
IS 5 S M W3;Inbusbout;5;;;5;;W3;W3;Zwaar;;OK
IS 6 M W3;Inbusbout;5;;;6;;W3;W3;Licht (standaard);;OK
IS 6 M W4;Inbusbout;5;;;6;;W4;W4;Licht (standaard);;OK
IS 6 M W5;Inbusbout;5;;;6;;W5;W5;Licht (standaard);;OK
IS 6 S M W5;Inbusbout;5;;;6;;W5;W5;Zwaar;;OK
IS 7 M W3;Inbusbout;5;;;7;;W3;W3;Licht (standaard);;OK
IS 7 M W5;Inbusbout;5;;;7;;W5;W5;Licht (standaard);;OK
IS 7 S M W1;Inbusbout;5;;;7;;W1;W1;Zwaar;;OK
IS 8 M W3;Inbusbout;5;;;8;;W3;W3;Licht (standaard);;OK
SI 10,5 DIN 93 W3;Borgplaat;3;;;10,5;Enkel;W3;W3;Licht (standaard);;OK
SI 10,5 DIN 93 W5;Borgplaat;3;;;10,5;Enkel;W5;W5;Licht (standaard);;OK
SI 10,5-DIN 463 W3;Borgplaat;3;;;10,5;Enkel;W3;W3;Licht (standaard);;OK
SI 10,5-DIN 463 W5;Borgplaat;3;;;10,5;Enkel;W5;W5;Licht (standaard);;OK
SI 13 DIN 93 W3;Borgplaat;3;;;13;Enkel;W3;W3;Licht (standaard);;OK
SI 13 DIN 93 W5;Borgplaat;3;;;13;Enkel;W5;W5;Licht (standaard);;OK
SI 13-DIN 463 W5;Borgplaat;3;;;13;Enkel;W5;W5;Licht (standaard);;OK
SI 17 DIN 93 W5;Borgplaat;3;;;17;Enkel;W5;W5;Licht (standaard);;OK
SI 17-DIN 463 W5;Borgplaat;3;;;17;Enkel;W5;W5;Licht (standaard);;OK
SI 21 DIN 93 W5;Borgplaat;3;;;21;Enkel;W5;W5;Licht (standaard);;OK
SI 2-5 D W3;Borgplaat;3;;;2-5;Enkel;W3;W3;Licht (standaard);;OK
SI 2-5 D W5;Borgplaat;3;;;2-5;Enkel;W5;W5;Licht (standaard);;OK
SI 25 DIN 93 W5;Borgplaat;3;;;25;Enkel;W5;W5;Licht (standaard);;OK
SI 25-DIN 463 W5;Borgplaat;3;;;25;Enkel;W5;W5;Licht (standaard);;OK
SI 31 DIN 93 W5;Borgplaat;3;;;31;Enkel;W5;W5;Licht (standaard);;OK
SI 6,4 DIN 93 W3;Borgplaat;3;;;6,4;Enkel;W3;W3;Licht (standaard);;OK
SI 6,4 DIN 93 W5;Borgplaat;3;;;6,4;Enkel;W5;W5;Licht (standaard);;OK
SI 6,4-DIN 463 W5;Borgplaat;3;;;6,4;Enkel;W5;W5;Licht (standaard);;OK
SIG 1 W3;Borgplaat;3;;;1;Enkel;W3;W3;Licht (standaard);;OK
SIG 1 W5;Borgplaat;3;;;1;Enkel;W5;W5;Licht (standaard);;OK
SIG 1A ACT W55;Borgplaat;3;;;1A;Enkel;W55;W55;Licht (standaard);;OK
SIG 1A W3;Borgplaat;3;;;1A;Enkel;W3;W3;Licht (standaard);;OK
SIG 1A W4;Borgplaat;3;;;1A;Enkel;W4;W4;Licht (standaard);;OK
SIG 1A W5;Borgplaat;3;;;1A;Enkel;W5;W5;Licht (standaard);;OK
SIG 2 W3;Borgplaat;3;;;2;Enkel;W3;W3;Licht (standaard);;OK
SIG 2 W5;Borgplaat;3;;;2;Enkel;W5;W5;Licht (standaard);;OK
SIG 3 W3;Borgplaat;3;;;3;Enkel;W3;W3;Licht (standaard);;OK
SIG 3 W5;Borgplaat;3;;;3;Enkel;W5;W5;Licht (standaard);;OK
SIG 4 W3;Borgplaat;3;;;4;Enkel;W3;W3;Licht (standaard);;OK
SIG 4 W5;Borgplaat;3;;;4;Enkel;W5;W5;Licht (standaard);;OK
SIG 5 W3;Borgplaat;3;;;5;Enkel;W3;W3;Licht (standaard);;OK
SIG 5 W5;Borgplaat;3;;;5;Enkel;W5;W5;Licht (standaard);;OK
SIG 6 W3;Borgplaat;3;;;6;Enkel;W3;W3;Licht (standaard);;OK
SIG 6 W5;Borgplaat;3;;;6;Enkel;W5;W5;Licht (standaard);;OK
SIP 3 S W3;Borgplaat;3;;;3;Enkel;W3;W3;Zwaar;;OK
SIP 3 S W4;Borgplaat;3;;;3;Enkel;W4;W4;Zwaar;;OK
SIP 3 S W5;Borgplaat;3;;;3;Enkel;W5;W5;Zwaar;;OK
SIP 4 S W2;Borgplaat;3;;;4;Enkel;W2;W2;Zwaar;;OK
SIP 4 S W3;Borgplaat;3;;;4;Enkel;W3;W3;Zwaar;;OK
SIP 4 S W4;Borgplaat;3;;;4;Enkel;W4;W4;Zwaar;;OK
SIP 4 S W5;Borgplaat;3;;;4;Enkel;W5;W5;Zwaar;;OK
SIP 5 S W2;Borgplaat;3;;;5;Enkel;W2;W2;Zwaar;;OK
SIP 5 S W3;Borgplaat;3;;;5;Enkel;W3;W3;Zwaar;;OK
SIP 5 S W5;Borgplaat;3;;;5;Enkel;W5;W5;Zwaar;;OK
SIP 6 S W2;Borgplaat;3;;;6;Enkel;W2;W2;Zwaar;;OK
SIP 6 S W3;Borgplaat;3;;;6;Enkel;W3;W3;Zwaar;;OK
SIP 6 S W5;Borgplaat;3;;;6;Enkel;W5;W5;Zwaar;;OK
SIP 7 S W3;Borgplaat;3;;;7;Enkel;W3;W3;Zwaar;;OK
SIP 7 S W5;Borgplaat;3;;;7;Enkel;W5;W5;Zwaar;;OK
SIP 8 S W3;Borgplaat;3;;;8;Enkel;W3;W3;Zwaar;;OK
SIP 9 S W3;Borgplaat;3;;;9;Enkel;W3;W3;Zwaar;;OK
SP 1 D M W2;Lasplaat;1;;;1;Enkel;W2;W2;Licht (standaard);;OK
SP 1 D M W3;Lasplaat;1;;;1;Enkel;W3;W3;Licht (standaard);;OK
SP 1 D M W4;Lasplaat;1;;;1;Enkel;W4;W4;Licht (standaard);;OK
SP 1 D M W5;Lasplaat;1;;;1;Enkel;W5;W5;Licht (standaard);;OK
SP 1 D M W55;Lasplaat;1;;;1;Enkel;W55;W55;Licht (standaard);;OK
SP 1 M W1;Lasplaat;1;;;1;Enkel;W1;W1;Licht (standaard);;OK
SP 1 M W2;Lasplaat;1;;;1;Enkel;W2;W2;Licht (standaard);;OK
SP 1 M W3;Lasplaat;1;;;1;Enkel;W3;W3;Licht (standaard);;OK
SP 1 M W5;Lasplaat;1;;;1;Enkel;W5;W5;Licht (standaard);;OK
SP 1A M W2;Lasplaat;1;;;1A;Enkel;W2;W2;Licht (standaard);;OK
SP 1A M W3;Lasplaat;1;;;1A;Enkel;W3;W3;Licht (standaard);;OK
SP 1A M W4;Lasplaat;1;;;1A;Enkel;W4;W4;Licht (standaard);;OK
SP 1A M W5;Lasplaat;1;;;1A;Enkel;W5;W5;Licht (standaard);;OK
SP 1A M W55;Lasplaat;1;;;1A;Enkel;W55;W55;Licht (standaard);;OK
SP 2 D M W1;Lasplaat;1;;;2;Enkel;W1;W1;Licht (standaard);;OK
SP 2 D M W2;Lasplaat;1;;;2;Enkel;W2;W2;Licht (standaard);;OK
SP 2 D M W3;Lasplaat;1;;;2;Enkel;W3;W3;Licht (standaard);;OK
SP 2 D M W4;Lasplaat;1;;;2;Enkel;W4;W4;Licht (standaard);;OK
SP 2 D M W5;Lasplaat;1;;;2;Enkel;W5;W5;Licht (standaard);;OK
SP 2 D M W55;Lasplaat;1;;;2;Enkel;W55;W55;Licht (standaard);;OK
SP 2 M W2;Lasplaat;1;;;2;Enkel;W2;W2;Licht (standaard);;OK
SP 2 M W3;Lasplaat;1;;;2;Enkel;W3;W3;Licht (standaard);;OK
SP 2 M W4;Lasplaat;1;;;2;Enkel;W4;W4;Licht (standaard);;OK
SP 2 M W5;Lasplaat;1;;;2;Enkel;W5;W5;Licht (standaard);;OK
SP 2 M W55;Lasplaat;1;;;2;Enkel;W55;W55;Licht (standaard);;OK
SP 3 D M W2;Lasplaat;1;;;3;Enkel;W2;W2;Licht (standaard);;OK
SP 3 D M W3;Lasplaat;1;;;3;Enkel;W3;W3;Licht (standaard);;OK
SP 3 D M W4;Lasplaat;1;;;3;Enkel;W4;W4;Licht (standaard);;OK
SP 3 D M W5;Lasplaat;1;;;3;Enkel;W5;W5;Licht (standaard);;OK
SP 3 M W2;Lasplaat;1;;;3;Enkel;W2;W2;Licht (standaard);;OK
SP 3 M W3;Lasplaat;1;;;3;Enkel;W3;W3;Licht (standaard);;OK
SP 3 M W4;Lasplaat;1;;;3;Enkel;W4;W4;Licht (standaard);;OK
SP 3 M W5;Lasplaat;1;;;3;Enkel;W5;W5;Licht (standaard);;OK
SP 3 M W55;Lasplaat;1;;;3;Enkel;W55;W55;Licht (standaard);;OK
SP 4 D M W2;Lasplaat;1;;;4;Enkel;W2;W2;Licht (standaard);;OK
SP 4 D M W3;Lasplaat;1;;;4;Enkel;W3;W3;Licht (standaard);;OK
SP 4 D M W4;Lasplaat;1;;;4;Enkel;W4;W4;Licht (standaard);;OK
SP 4 D M W5;Lasplaat;1;;;4;Enkel;W5;W5;Licht (standaard);;OK
SP 4 M W2;Lasplaat;1;;;4;Enkel;W2;W2;Licht (standaard);;OK
SP 4 M W3;Lasplaat;1;;;4;Enkel;W3;W3;Licht (standaard);;OK
SP 4 M W4;Lasplaat;1;;;4;Enkel;W4;W4;Licht (standaard);;OK
SP 4 M W5;Lasplaat;1;;;4;Enkel;W5;W5;Licht (standaard);;OK
SP 5 D M W2;Lasplaat;1;;;5;Enkel;W2;W2;Licht (standaard);;OK
SP 5 D M W5;Lasplaat;1;;;5;Enkel;W5;W5;Licht (standaard);;OK
SP 5 M W2;Lasplaat;1;;;5;Enkel;W2;W2;Licht (standaard);;OK
SP 5 M W3;Lasplaat;1;;;5;Enkel;W3;W3;Licht (standaard);;OK
SP 5 M W4;Lasplaat;1;;;5;Enkel;W4;W4;Licht (standaard);;OK
SP 5 M W5;Lasplaat;1;;;5;Enkel;W5;W5;Licht (standaard);;OK
SP 6 M W2;Lasplaat;1;;;6;Enkel;W2;W2;Licht (standaard);;OK
SP 6 M W4;Lasplaat;1;;;6;Enkel;W4;W4;Licht (standaard);;OK
SP 6 M W5;Lasplaat;1;;;6;Enkel;W5;W5;Licht (standaard);;OK
SP 7 M W2;Lasplaat;1;;;7;Enkel;W2;W2;Licht (standaard);;OK
SP 7 M W3;Lasplaat;1;;;7;Enkel;W3;W3;Licht (standaard);;OK
SP 7 M W4;Lasplaat;1;;;7;Enkel;W4;W4;Licht (standaard);;OK
SP 7 M W5;Lasplaat;1;;;7;Enkel;W5;W5;Licht (standaard);;OK
SP 7 M W85;Lasplaat;1;;;7;Enkel;W85;W85;Licht (standaard);;OK
SP 8 M W2;Lasplaat;1;;;8;Enkel;W2;W2;Licht (standaard);;OK
SP 8 M W5;Lasplaat;1;;;8;Enkel;W5;W5;Licht (standaard);;OK
SPAL 10 S M W1;Lasplaat;1;;;10;Enkel;W1;W1;Zwaar;;OK
SPAL 10 S M W2;Lasplaat;1;;;10;Enkel;W2;W2;Zwaar;;OK
SPAL 10 S M W5;Lasplaat;1;;;10;Enkel;W5;W5;Zwaar;;OK
SPAL 11 S M W1;Lasplaat;1;;;11;Enkel;W1;W1;Zwaar;;OK
SPAL 12 S M W1;Lasplaat;1;;;12;Enkel;W1;W1;Zwaar;;OK
SPAL 3 S M W2;Lasplaat;1;;;3;Enkel;W2;W2;Zwaar;;OK
SPAL 3 S M W3;Lasplaat;1;;;3;Enkel;W3;W3;Zwaar;;OK
SPAL 3 S M W4;Lasplaat;1;;;3;Enkel;W4;W4;Zwaar;;OK
SPAL 3 S M W5;Lasplaat;1;;;3;Enkel;W5;W5;Zwaar;;OK
SPAL 3 S U W2;Lasplaat;1;;;3;Enkel;W2;W2;Zwaar;;OK
SPAL 4 S M W1;Lasplaat;1;;;4;Enkel;W1;W1;Zwaar;;OK
SPAL 4 S M W2;Lasplaat;1;;;4;Enkel;W2;W2;Zwaar;;OK
SPAL 4 S M W3;Lasplaat;1;;;4;Enkel;W3;W3;Zwaar;;OK
SPAL 4 S M W4;Lasplaat;1;;;4;Enkel;W4;W4;Zwaar;;OK
SPAL 4 S M W5;Lasplaat;1;;;4;Enkel;W5;W5;Zwaar;;OK
SPAL 4 S U W2;Lasplaat;1;;;4;Enkel;W2;W2;Zwaar;;OK
SPAL 5 S M W2;Lasplaat;1;;;5;Enkel;W2;W2;Zwaar;;OK
SPAL 5 S M W3;Lasplaat;1;;;5;Enkel;W3;W3;Zwaar;;OK
SPAL 5 S M W5;Lasplaat;1;;;5;Enkel;W5;W5;Zwaar;;OK
SPAL 6 S M W2;Lasplaat;1;;;6;Enkel;W2;W2;Zwaar;;OK
SPAL 6 S M W4;Lasplaat;1;;;6;Enkel;W4;W4;Zwaar;;OK
SPAL 6 S M W5;Lasplaat;1;;;6;Enkel;W5;W5;Zwaar;;OK
SPAL 7 S M W2;Lasplaat;1;;;7;Enkel;W2;W2;Zwaar;;OK
SPAL 7 S M W5;Lasplaat;1;;;7;Enkel;W5;W5;Zwaar;;OK
SPAL 8 S M W1;Lasplaat;1;;;8;Enkel;W1;W1;Zwaar;;OK
SPAL 8 S M W2;Lasplaat;1;;;8;Enkel;W2;W2;Zwaar;;OK
SPAL 8 S M W4;Lasplaat;1;;;8;Enkel;W4;W4;Zwaar;;OK
SPAL 8 S M W5;Lasplaat;1;;;8;Enkel;W5;W5;Zwaar;;OK
SPAL 9 S M W2;Lasplaat;1;;;9;Enkel;W2;W2;Zwaar;;OK
SPAL 9 S M W5;Lasplaat;1;;;9;Enkel;W5;W5;Zwaar;;OK
SPV 1 M W3;Lasplaat;1;;;1;Enkel;W3;W3;Licht (standaard);;OK
SPV 1 M W5;Lasplaat;1;;;1;Enkel;W5;W5;Licht (standaard);;OK
SPV 1A M W2;Lasplaat;1;;;1A;Enkel;W2;W2;Licht (standaard);;OK
SPV 1A M W3;Lasplaat;1;;;1A;Enkel;W3;W3;Licht (standaard);;OK
SPV 1A M W5;Lasplaat;1;;;1A;Enkel;W5;W5;Licht (standaard);;OK
SPV 1D M W5 OV;Lasplaat;1;;;1D;Enkel;W5;W5;Licht (standaard);;OK
SPV 2 M W2;Lasplaat;1;;;2;Enkel;W2;W2;Licht (standaard);;OK
SPV 2 M W3;Lasplaat;1;;;2;Enkel;W3;W3;Licht (standaard);;OK
SPV 2 M W5;Lasplaat;1;;;2;Enkel;W5;W5;Licht (standaard);;OK
SPV 3 M W2;Lasplaat;1;;;3;Enkel;W2;W2;Licht (standaard);;OK
SPV 3 M W3;Lasplaat;1;;;3;Enkel;W3;W3;Licht (standaard);;OK
SPV 3 M W4;Lasplaat;1;;;3;Enkel;W4;W4;Licht (standaard);;OK
SPV 3 M W5;Lasplaat;1;;;3;Enkel;W5;W5;Licht (standaard);;OK
SPV 4 M W2;Lasplaat;1;;;4;Enkel;W2;W2;Licht (standaard);;OK
SPV 4 M W3;Lasplaat;1;;;4;Enkel;W3;W3;Licht (standaard);;OK
SPV 4 M W5;Lasplaat;1;;;4;Enkel;W5;W5;Licht (standaard);;OK
SPV 5 M W2;Lasplaat;1;;;5;Enkel;W2;W2;Licht (standaard);;OK
SPV 5 M W3;Lasplaat;1;;;5;Enkel;W3;W3;Licht (standaard);;OK
SPV 5 M W4;Lasplaat;1;;;5;Enkel;W4;W4;Licht (standaard);;OK
SPV 5 M W5;Lasplaat;1;;;5;Enkel;W5;W5;Licht (standaard);;OK
SPV 5 M W55;Lasplaat;1;;;5;Enkel;W55;W55;Licht (standaard);;OK
SPV 6 M W2;Lasplaat;1;;;6;Enkel;W2;W2;Licht (standaard);;OK
SPV 6 M W3;Lasplaat;1;;;6;Enkel;W3;W3;Licht (standaard);;OK
SPV 6 M W5;Lasplaat;1;;;6;Enkel;W5;W5;Licht (standaard);;OK
SPV 7 M W2;Lasplaat;1;;;7;Enkel;W2;W2;Licht (standaard);;OK
SPV 7 M W3;Lasplaat;1;;;7;Enkel;W3;W3;Licht (standaard);;OK
SPV 7 M W5;Lasplaat;1;;;7;Enkel;W5;W5;Licht (standaard);;OK
AS 1/1A M W3;Zeskantbout;5;;;1/1A;Enkel;W3;W3;Licht (standaard);;OK
AS 1/1A M W4;Zeskantbout;5;;;1/1A;Enkel;W4;W4;Licht (standaard);;OK
AS 1/1A M W5;Zeskantbout;5;;;1/1A;Enkel;W5;W5;Licht (standaard);;OK
AS 1/1A M W55;Zeskantbout;5;;;1/1A;Enkel;W55;W55;Licht (standaard);;OK
AS 10 S M W3;Zeskantbout;5;;;10;Enkel;W3;W3;Zwaar;;OK
AS 10 S M W5;Zeskantbout;5;;;10;Enkel;W5;W5;Zwaar;;OK
AS 11 S M W3;Zeskantbout;5;;;11;Enkel;W3;W3;Zwaar;;OK
AS 12 S M W1;Zeskantbout;5;;;12;Enkel;W1;W1;Zwaar;;OK
AS 1D/2 M W3;Zeskantbout;5;;;1/2;Dubbel;W3;W3;Licht (standaard);;OK
AS 1D/2 M W5;Zeskantbout;5;;;1/2;Dubbel;W5;W5;Licht (standaard);;OK
AS 1D/2 M W55;Zeskantbout;5;;;1/2;Dubbel;W55;W55;Licht (standaard);;OK
AS 2 D M W3;Zeskantbout;5;;;2;Dubbel;W3;W3;Licht (standaard);;OK
AS 2 D M W5;Zeskantbout;5;;;2;Dubbel;W5;W5;Licht (standaard);;OK
AS 2 D M W55;Zeskantbout;5;;;2;Dubbel;W55;W55;Licht (standaard);;OK
AS 3 D M W3;Zeskantbout;5;;;3;Dubbel;W3;W3;Licht (standaard);;OK
AS 3 D M W4;Zeskantbout;5;;;3;Dubbel;W4;W4;Licht (standaard);;OK
AS 3 D M W5;Zeskantbout;5;;;3;Dubbel;W5;W5;Licht (standaard);;OK
AS 3 M W3;Zeskantbout;5;;;3;Enkel;W3;W3;Licht (standaard);;OK
AS 3 M W4;Zeskantbout;5;;;3;Enkel;W4;W4;Licht (standaard);;OK
AS 3 M W5;Zeskantbout;5;;;3;Enkel;W5;W5;Licht (standaard);;OK
AS 3 M W55;Zeskantbout;5;;;3;Enkel;W55;W55;Licht (standaard);;OK
AS 3 S M W1;Zeskantbout;5;;;3;Enkel;W1;W1;Zwaar;;OK
AS 3 S M W3;Zeskantbout;5;;;3;Enkel;W3;W3;Zwaar;;OK
AS 3 S M W4;Zeskantbout;5;;;3;Enkel;W4;W4;Zwaar;;OK
AS 3 S M W5;Zeskantbout;5;;;3;Enkel;W5;W5;Zwaar;;OK
AS 3 S U W3;Zeskantbout;5;;;3;Enkel;W3;W3;Zwaar;;OK
AS 3 S U W5;Zeskantbout;5;;;3;Enkel;W5;W5;Zwaar;;OK
AS 4 D M W3;Zeskantbout;5;;;4;Dubbel;W3;W3;Licht (standaard);;OK
AS 4 D M W5;Zeskantbout;5;;;4;Dubbel;W5;W5;Licht (standaard);;OK
AS 4 M W3;Zeskantbout;5;;;4;Enkel;W3;W3;Licht (standaard);;OK
AS 4 M W4;Zeskantbout;5;;;4;Enkel;W4;W4;Licht (standaard);;OK
AS 4 M W5;Zeskantbout;5;;;4;Enkel;W5;W5;Licht (standaard);;OK
AS 4 M W55;Zeskantbout;5;;;4;Enkel;W55;W55;Licht (standaard);;OK
AS 4 S M W1;Zeskantbout;5;;;4;Enkel;W1;W1;Zwaar;;OK
AS 4 S M W3;Zeskantbout;5;;;4;Enkel;W3;W3;Zwaar;;OK
AS 4 S M W4;Zeskantbout;5;;;4;Enkel;W4;W4;Zwaar;;OK
AS 4 S M W5;Zeskantbout;5;;;4;Enkel;W5;W5;Zwaar;;OK
AS 4 S U W3;Zeskantbout;5;;;4;Enkel;W3;W3;Zwaar;;OK
AS 4 S U W5;Zeskantbout;5;;;4;Enkel;W5;W5;Zwaar;;OK
AS 5 D M W3;Zeskantbout;5;;;5;Dubbel;W3;W3;Licht (standaard);;OK
AS 5 D M W5;Zeskantbout;5;;;5;Dubbel;W5;W5;Licht (standaard);;OK
AS 5 M W3;Zeskantbout;5;;;5;Enkel;W3;W3;Licht (standaard);;OK
AS 5 M W4;Zeskantbout;5;;;5;Enkel;W4;W4;Licht (standaard);;OK
AS 5 M W5;Zeskantbout;5;;;5;Enkel;W5;W5;Licht (standaard);;OK
AS 5 M W55;Zeskantbout;5;;;5;Enkel;W55;W55;Licht (standaard);;OK
AS 5 S M W1;Zeskantbout;5;;;5;Enkel;W1;W1;Zwaar;;OK
AS 5 S M W3;Zeskantbout;5;;;5;Enkel;W3;W3;Zwaar;;OK
AS 5 S M W4;Zeskantbout;5;;;5;Enkel;W4;W4;Zwaar;;OK
AS 5 S M W5;Zeskantbout;5;;;5;Enkel;W5;W5;Zwaar;;OK
AS 5 S U W3;Zeskantbout;5;;;5;Enkel;W3;W3;Zwaar;;OK
AS 5 S U W5;Zeskantbout;5;;;5;Enkel;W5;W5;Zwaar;;OK
AS 6 M W3;Zeskantbout;5;;;6;Enkel;W3;W3;Licht (standaard);;OK
AS 6 M W4;Zeskantbout;5;;;6;Enkel;W4;W4;Licht (standaard);;OK
AS 6 M W5;Zeskantbout;5;;;6;Enkel;W5;W5;Licht (standaard);;OK
AS 6 S M W1;Zeskantbout;5;;;6;Enkel;W1;W1;Zwaar;;OK
AS 6 S M W2;Zeskantbout;5;;;6;Enkel;W2;W2;Zwaar;;OK
AS 6 S M W3;Zeskantbout;5;;;6;Enkel;W3;W3;Zwaar;;OK
AS 6 S M W4;Zeskantbout;5;;;6;Enkel;W4;W4;Zwaar;;OK
AS 6 S M W5;Zeskantbout;5;;;6;Enkel;W5;W5;Zwaar;;OK
AS 6 S U W3;Zeskantbout;5;;;6;Enkel;W3;W3;Zwaar;;OK
AS 6 S U W5;Zeskantbout;5;;;6;Enkel;W5;W5;Zwaar;;OK
AS 7 M W3;Zeskantbout;5;;;7;Enkel;W3;W3;Licht (standaard);;OK
AS 7 M W5;Zeskantbout;5;;;7;Enkel;W5;W5;Licht (standaard);;OK
AS 7 S M W3;Zeskantbout;5;;;7;Enkel;W3;W3;Zwaar;;OK
AS 7 S M W5;Zeskantbout;5;;;7;Enkel;W5;W5;Zwaar;;OK
AS 8 M W3;Zeskantbout;5;;;8;Enkel;W3;W3;Licht (standaard);;OK
AS 8 M W5;Zeskantbout;5;;;8;Enkel;W5;W5;Licht (standaard);;OK
AS 8 S M W1;Zeskantbout;5;;;8;Enkel;W1;W1;Zwaar;;OK
AS 8 S M W3;Zeskantbout;5;;;8;Enkel;W3;W3;Zwaar;;OK
AS 8 S M W4;Zeskantbout;5;;;8;Enkel;W4;W4;Zwaar;;OK
AS 8 S M W5;Zeskantbout;5;;;8;Enkel;W5;W5;Zwaar;;OK
AS 9 S M W3;Zeskantbout;5;;;9;Enkel;W3;W3;Zwaar;;OK
AS 9 S M W5;Zeskantbout;5;;;9;Enkel;W5;W5;Zwaar;;OK
AS M8X28-W3;Zeskantbout;5;;;M8X28-W3;Enkel;;;Licht (standaard);;Controle
DPAD 4 S W1;Dekplaat;4;;;4;Dubbel;W1;W1;Zwaar;;OK
DPAD 4 S W3;Dekplaat;4;;;4;Dubbel;W3;W3;Zwaar;;OK
DPAD 4 S W5;Dekplaat;4;;;4;Dubbel;W5;W5;Zwaar;;OK
DPAD 5 S W3;Dekplaat;4;;;5;Dubbel;W3;W3;Zwaar;;OK
DPAS 3 S W2;Dekplaat;4;;;3;Enkel;W2;W2;Zwaar;;OK
DPAS 5 S W3;Dekplaat;4;;;5;Enkel;W3;W3;Zwaar;;OK
DPAS 6 S W3;Dekplaat;4;;;6;Enkel;W3;W3;Zwaar;;OK
DPAS 7 S W3;Dekplaat;4;;;7;Enkel;W3;W3;Zwaar;;OK
DPAS 8 S W3;Dekplaat;4;;;8;Enkel;W3;W3;Zwaar;;OK
DPAS 8 S W5;Dekplaat;4;;;8;Enkel;W5;W5;Zwaar;;OK
DPAS 9 S W3;Dekplaat;4;;;9;Enkel;W3;W3;Zwaar;;OK
GMV 3-5 S /2 M W3;Glijmoer;1;;;3-5;Enkel;W3;W3;Zwaar;;OK
GMV 3-5 S /2 M W4;Glijmoer;1;;;3-5;Enkel;W4;W4;Zwaar;;OK
GMV 3-5 S /2 M W5;Glijmoer;1;;;3-5;Enkel;W5;W5;Zwaar;;OK
GMV 6 S /2 M W3;Glijmoer;1;;;6;Enkel;W3;W3;Zwaar;;OK
GMV 6 S /2 M W5;Glijmoer;1;;;6;Enkel;W5;W5;Zwaar;;OK
WSP 1A M W1;Lasplaat (hoek);1;;;1A;Enkel;W1;W1;Licht (standaard);;OK
WSP 1A M W5;Lasplaat (hoek);1;;;1A;Enkel;W5;W5;Licht (standaard);;OK
WSP 2 M W3;Lasplaat (hoek);1;;;2;Enkel;W3;W3;Licht (standaard);;OK
WSP 2 M W4;Lasplaat (hoek);1;;;2;Enkel;W4;W4;Licht (standaard);;OK
WSP 2 M W5;Lasplaat (hoek);1;;;2;Enkel;W5;W5;Licht (standaard);;OK
WSP 3 M W5;Lasplaat (hoek);1;;;3;Enkel;W5;W5;Licht (standaard);;OK
WSP 4 M W1;Lasplaat (hoek);1;;;4;Enkel;W1;W1;Licht (standaard);;OK
WSP 4 M W5;Lasplaat (hoek);1;;;4;Enkel;W5;W5;Licht (standaard);;OK
WSP 5 M W1;Lasplaat (hoek);1;;;5;Enkel;W1;W1;Licht (standaard);;OK
WSP 6 M W1;Lasplaat (hoek);1;;;6;Enkel;W1;W1;Licht (standaard);;OK
