artikelnummer,[Items.Description],draadsoort,maat,stand,type
10996-20-08,CR. FITT. METR. SWIVEL 90° (12S) M20 X DN12,metrisch,12S,90,wartel
10996-22-06,CR. FITT. METR. SWIVEL 90° (14S) M22 X DN10,metrisch,14S,90,wartel
10996-22-08,CR. FITT. METR. SWIVEL 90° (14S) M22 X DN12,metrisch,14S,90,wartel
10996-24-06,CR. FITT. METR. SWIVEL 90° (16S) M24 X DN10,metrisch,16S,90,wartel
10996-24-08,CR. FITT. METR. SWIVEL 90° (16S) M24 X DN12,metrisch,16S,90,wartel
10996-24-10,CR. FITT. METR. SWIVEL 90° (16S) M24 X DN16,metrisch,16S,90,wartel
10996-30-08,CR. FITT. METR. SWIVEL 90° (20S) M30 X DN12,metrisch,20S,90,wartel
10996-30-10,CR. FITT. METR. SWIVEL 90° (20S) M30 X DN16,metrisch,20S,90,wartel
10996-30-12,CR. FITT. METR. SWIVEL 90° (20S) M30 X DN20,metrisch,20S,90,wartel
10996-36-12,CR. FITT. METR. SWIVEL 90° (25S) M36 X DN20,metrisch,25S,90,wartel
10996-36-16,CR. FITT. METR. SWIVEL 90° (25S) M36 X DN25,metrisch,25S,90,wartel
10996-42-12,CR. FITT. METR. SWIVEL 90° (30S) M42 X DN20,metrisch,30S,90,wartel
10996-42-16,CR. FITT. METR. SWIVEL 90° (30S) M42 X DN25,metrisch,30S,90,wartel
10996-42-20,CR. FITT. METR. SWIVEL 90° (30S) M42 X DN32,metrisch,30S,90,wartel
10996-52-20,CR. FITT. METR. SWIVEL 90° (38S) M52 X DN32,metrisch,38S,90,wartel
10996-52-24,CR. FITT. METR. SWIVEL 90° (38S) M52 X DN40 0184-24-52,metrisch,38S,90,wartel
10997-20-05,CR. FITT. METR. SWIVEL 90° FRANCE,metrisch,M20,90,wartel
10997-24-08,CR. FITT. METR. SWIVEL 90° FRANCE,metrisch,M24,90,wartel
10997-27-10,CR. FITT. METR. SWIVEL 90° FRANCE,metrisch,M27,90,wartel
10997-30-10,CR. FITT. METR. SWIVEL 90° FRANCE,metrisch,M30,90,wartel
10997-36-12,CR. FITT. METR. SWIVEL 90° FRANCE,metrisch,M36,90,wartel
10997-45-16,CR. FITT. METR. SWIVEL STR. FRANCE,metrisch,M45,90,wartel
