artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm)
0328-05D;THERMOPLASTIC HIGH PRESSURE (5/16) DN08 W.P. 300 BAR TWIN;Calseyde;R8D-DN08-1753;300;17003-05;;;;;;;
0328-06;THERMOPLASTIC HIGH PRESSURE (3/8) DN10 W.P. 280 BAR;Hansaflex;NY810;280;17003-06;19,5;;;;;;
0328-06D;THERMOPLASTIC HIGH PRESSURE (3/8) DN10 W.P. 280 BAR TWIN;Calseyde;R8D-DN10-1754;280;17003-06;;;;;;;
0328-08;THERMOPLASTIC HIGH PRESSURE (1/2) DN12 W.P. 245 BAR;Hansaflex;NY813;245;17001-08;;;;17003-08;23,5;;
0328-08D;THERMOPLASTIC HIGH PRESSURE (1/2) DN12 W.P. 245 BAR TWIN;Hansaflex;NYZ 813;245;17001-08;;;;;;;
0328-12;THERMOPLASTIC HIGH PRESSURE (3/4) DN19;Schmitter;626320;;;;;;;;;
0331-03;THERMOPLASTIC HIGH PRESSURE (3/16) DN05 W.P. 360 BAR;Hansaflex;NY104;360;17002-03;13,5;;;;;;
0331-03CO2;THERMOPLASTIC HIGH PRESSURE (3/16) DN05 W.P. 360 BAR;Calseyde;0501-SB1-CO2-DN05;360;17002-03;13,5;;;;;;
0331-03D;THERMOPLASTIC HIGH PRESSURE (3/16) DN05 W.P. 360 BAR TWIN;Hansaflex;NYZ 104;360;17002-03;13,5;;;;;;
0331-04;THERMOPLASTIC HIGH PRESSURE (1/4) DN06 W.P. 310 BAR;Hansaflex;NY106;310;17002-04;15,4;;;;;;
0331-04CO2;THERMOPLASTIC HIGH PRESSURE (1/4) DN06 W.P. 310 BAR;Calseyde;0502-SB1-C02-DN06;310;17002-04;15,4;;;;;;
0331-04D;THERMOPLASTIC HIGH PRESSURE (1/4) DN06 W.P. 310 BAR TWIN;Hansaflex;NYZ106;310;17002-04;15,4;;;;;;
0331-05;THERMOPLASTIC HIGH PRESSURE (5/16) DN08 W.P. 250 BAR;Hansaflex;NY 108;250;17002-05;18,1;;;;;;
0331-05D;THERMOPLASTIC HIGH PRESSURE (5/16) DN08 W.P. 250 BAR TWIN;Hansaflex;NYZ 108;250;17002-05;18,1;;;;;;
0331-06;THERMOPLASTIC HIGH PRESSURE (3/8) DN10 W.P. 225 BAR;Hansaflex;NY110;225;17002-06;19,5;;;;;;
0331-06D;THERMOPLASTIC MEDIUM PRESSURE (3/8) DN10 W.P. 225 BAR TWIN;Hansaflex;NYZ110;225;17002-06;19,5;;;;;;
0331-08;THERMOPLASTIC HIGH PRESSURE (1/2) DN12 W.P. 180 BAR;Hansaflex;NY 113;180;17002-08;22,4;;;;;;
0331-08C02;THERMOPLASTIC HIGH PRESSURE (1/2) DN12 W.P. 180 BAR;Calseyde;0505-SB1-CO2DN12;180;17002-08;22,4;;;;;;
0331-08D;THERMOPLASTIC HIGH PRESSURE (1/2) DN12 W.P. 180 BAR TWIN;Hansaflex;NYZ 113;180;17002-08;22,4;;;;;;
0334-03;THERMOPLASTIC MEDIUM PRESS PAINT (3/16) DN05 W.P. 360 BAR;Dicsa;MT099003;360;17002-03;13,5;;;;;;
0334-04;THERMOPLASTIC MEDIUM PRESS PAINT (1/4) DN06 W.P. 310 BAR;Dicsa;MT099004;310;17002-04;15,4;;;;;;
0334-06;THERMOPLASTIC MEDIUM PRESS PAINT (3/8) DN10 W.P. 240 BAR;Parker;2040N-06V02;240;17002-06;19,5;;;;;;
0347-02;THERMOPLASTIC MEDIUM PRESSURE (1/8) DN03 W.P. 210 BAR;Parker;347-2;210;17001-02;8,9;;;;;;
0347-025;THERMOPLASTIC MEDIUM PRESSURE (5/32) DN04 W.P. 240 BAR;Parker;347-2.5;240;1411-04;;;;;;;
0347-03;THERMOPLASTIC MEDIUM PRESSURE (3/16) DN02 W.P. 210 BAR;Parker;347-3;210;17001-03;12,5;;;16001-03;;;
0347-03D;THERMOPLASTIC MEDIUM PRESSURE (3/16) DN05 W.P. 215 BAR TWIN;Parker;0347-03D;215;17001-03;12,5;;;16001-03;;;
0347-04;THERMOPLASTIC MEDIUM PRESSURE 6.3MM (1/4) DN06 R7 W.P. 215 B;Calseyde;R7-DN06-0662;215;17001-04;15,2;;;16001-04;;;
0347-04D;THERMOPLASTIC MEDIUM PRESSURE (1/4) DN06 W.P. 215 BAR TWIN;Calseyde;R7D-DN06-0632;215;17001-04;15,2;;;16001-04;;;
0347-04Q;THERMOPLASTIC MEDIUM PRESSURE (1/4) DN06 W.P. 215 BAR QUAT;Parker;0347-04Q;215;17001-04;15,2;;;16001-04;;;
0347-05;THERMOPLASTIC MEDIUM PRESSURE (5/16) DN08 W.P. 190 BAR;Calseyde;R7-DN08-0663;190;17001-05;16,8;;;16001-05;;;
0347-05D;THERMOPLASTIC MEDIUM PRESSURE (5/16) DN08 W.P. 190 BAR TWIN;Hansaflex;NYZ708;190;17001-05;16,8;;;16001-05;;;
0347-06;THERMOPLASTIC MEDIUM PRESSURE 9.5MM (3/8) DN10 R7 W.P. 160 B;Calseyde;R7-DN10-0664;160;17001-06;18,9;;;16001-06;;;
0347-06D;THERMOPLASTIC MEDIUM PRESSURE (3/8) DN10 W.P. 160 BAR TWIN;Hansaflex;NYZ710;160;17001-06;18,9;;;16001-06;;;
