artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm)
0503-04;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MB2304;;15001-04;;;;;;;
0503-05;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Landefeld;3 TE 8;;15001-05;;;;;;;
0503-06;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MB2306;;15001-06;;;;;;;
0503-08;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MB2308;;15001-08;;;;;;;
0503-10;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MB2310;;15001-10;;;;;;;
0503-12;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MB2312;;15001-12;;;;;;;
0503-16;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MBDD2316;;15001-16;;;;;;;
0503-20;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dietzel;SLMW-06-20;;;;;;;;;
0503-24;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Eriks;TE 0338;;;;;;;;;
0503-32;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dietzel;48000;;;;;;;;;
0511-12;SUCTION AND RETURN HOSE 19X29;Peters;P001279;;15001-12;34;;;;;;
0511-16;SUCTION AND RETURN HOSE 25X35;Peters;P001280;;13001-16MM;40;;;;;;
0511-20;SUCTION AND RETURN HOSE 32X42;Peters;P001284;;13001-20MM;48;;;;;;
0511-24;SUCTION AND RETURN HOSE 38X50;Peters;P001286;;13001-24MM;55,2;;;;;;
0511-32;SUCTION AND RETURN HOSE 51X62;Peters;P001291;;13001-32MM;68,5;;;;;;
0511-40;SUCTION AND RETURN HOSE 63X76;Peters;P001295;;;;;;;;;
0511-48;SUCTION AND RETURN HOSE 76X90;Peters;P002545;;;;;;;;;
0511-56;SUCTION AND RETURN HOSE 90X104;Rubaflex;TWS090S;;;;;;;;;
0511-64;SUCTION AND RETURN HOSE 102X118;Peters;P001274;;;;;;;;;
055LT-04;MTR POLYFLEX SLANG;Parker;1202LT-4;;;;;;;;;
055LT-04-04;MTR POLYFLEX SLANG;Parker;1202LT-4-4;;;;;;;;;
055LT-05;MTR POLYFLEX SLANG;Parker;1202LT-5;;;;;;;;;
055LT-06;MTR POLYFLEX SLANG;Parker;1202LT-6;;;;;;;;;
055LT-06-06;MTR POLYFLEX SLANG;Parker;1202LT-6-6;;;;;;;;;
055LT-08;MTR POLYFLEX SLANG;Parker;55LT-8;;;;;;;;;
0560-04;MTR POLYFLEX SAE100R1 560-4;Parker;560-4;;;;;;;;;
0560-06;MTR POLYFLEX SAE100R1 560-6;Parker;560-6;;;;;;;;;
0560-08-08;MTR POLYFLEX TWINSLANG 1/2 SAE100R1 560-8-8;Parker;560-8-8;;;;;;;;;
0561-08;TRELLJET 561 8 L100;Trelleborg;561-08;;;;;;;;;
0563TJ-4;TOUGH JACKET HOSE SAE 100R17 210 BAR;Coliflower;0563TJ-4;210;;;;;;;;
0563TJ-6;TOUGH JACKET HOSE SAE 100R17 210 BAR;Coliflower;0563TJ-6;210;;;;;;;;
0563TJ-8;TOUGH JACKET HOSE SAE 100R17 210 BAR;Coliflower;0563TJ-8;210;;;;;;;;
0590-06;MTR POLYFLEX SLANG 3/8 SAE100R2 590-6;Parker;590TJ-6;;;;;;;;;
0590-06-06;MTR POLYFLEX TWINSLANG 3/8 SAE100R2 590-6-6;Parker;590-6-6;;;;;;;;;
0590-08;MTR POLYFLEX SLANG 1/2 SAE100R2 590-8;Parker;590-8;;;;;;;;;
0590-10;MTR POLYFLEX SLANG 5/8 SAE100R2 590-10;Parker;590-10;;;;;;;;;
0590-12;MTR POLYFLEX SLANG 3/4 SAE100R2 590-12;Parker;590-12;;;;;;;;;
0590-16;MTR POLYFLEX SLANG 1 SAE100R2 590-16;Parker;590-16;;;;;;;;;
0590TJ-06;PARFLEX TOUGH JACKET WP28.0MPa;Parker;590TJ-6;280;;;;;;;;
0590TJ-08;PARFLEX TOUGH JACKET WP24.5MPa;Parker;590TJ-8;245;;;;;;;;
0620-06;MTR NYLAFLOW HOSE;Flowtech;0620-06;;;;;;;;;
0620-08;MTR NYLAFLOW HOSE;Flowtech;0620-08;;;;;;;;;
0620-10;MTR NYLAFLOW HOSE;Flowtech;0620-10;;;;;;;;;
0620-12;MTR NYLAFLOW HOSE;Flowtech;0620-12;;;;;;;;;
0628-04;MTR NYLAFLOW HOSE;Flowtech;0628-04;;;;;;;;;
0628-04PP;MTR NYLAFLOW HOSE;Flowtech;0628-04PP;;;;;;;;;
0628-05;MTR NYLAFLOW HOSE;Flowtech;0628-05;;;;;;;;;
0628-06;MTR NYLAFLOW HOSE;Flowtech;0628-06;;;;;;;;;
0628-08;MTR NYLAFLOW HOSE;Flowtech;0628-08;;;;;;;;;
0692-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 1SC W.P. 210 BAR;Parker;692-4;210;13002-04MM;15,1;;;13002-04;14,6;;
0692-04-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692-4-4;210;;;;;;;;
0692-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 1SC W.P. 210 BAR;Parker;692-5;210;13002-05MM;16,9;;;13002-05;16,7;;
0692-05-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692-5-5;210;;;;;;;;
0692-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 1SC W.P. 210 BAR;Parker;692-6;210;13002-06MM;19,4;;;13002-06;18,5;;
0692-06-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692-6-6-GT50;210;;;;;;;;
0692-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 1SC W.P. 210 BAR;Parker;692-8;210;13002-08MM;22,1;;;13002-08;22,3;;
0692-08-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692-8-8;210;;;;;;;;
0692-08-08-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 1SC W.P. 210 BAR TRIPEL;Parker;692-8-8-8;210;;;;;;;;
0692-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 1SC W.P. 210 BAR;Parker;692-10;210;13002-10MM;26;;;13002-10;24,9;;
0692-10-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692-10-10;210;;;;;;;;
0692PU-04;NO-SKIVE 6.3MM (1/4) DN06 PU COMPACT 1SC W.P. 210 BAR;Parker;692PU-4;210;13002-04MM;15,1;;;13002-04;14,6;;
0692PU-04-04;NO-SKIVE 6.3MM (1/4) DN06 PU COMPACT 1SC W.P. 210 BAR TWIN;Parker;692PU-4-4;210;;;;;;;;
0692PU-05;NO-SKIVE 7.9MM (5/16) DN08 PU COMPACT 1SC W.P. 210 BAR;Parker;692PU-5;210;13002-05MM;16,9;;;13002-05;16,7;;
0692PU-05-05;NO-SKIVE 7.9MM (5/16) DN08 PU COMPACT 1SC W.P. 210 BAR TWIN;Parker;692PU-5-5;210;;;;;;;;
0692PU-06;NO-SKIVE 9.5MM (3/8) DN10 PU COMPACT 1SC W.P. 210 BAR;Parker;692PU-6;210;13002-06MM;19,4;;;13002-06;18,5;;
0692PU-06-06;NO-SKIVE 9.5MM (3/8) DN10 PU COMPACT 1SC W.P. 210 BAR TWIN;Parker;692PU-6-6;210;;;;;;;;
0692PU-08;NO-SKIVE 9.5MM (1/2) DN12 PU COMPACT 1SC W.P. 210 BAR;Parker;692PU-08;210;;;;;;;;
0692PU-08-08;NO-SKIVE 9.5MM (1/2) DN12 PU COMPACT 1SC W.P. 210 BAR TWIN;Parker;692PU-8-8;210;;;;;;;;
0692PU-10-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 1SC W.P. 210 BAR TWIN;Parker;692PU-10-10;210;;;;;;;;
0721ST-08;MTR SLANG R12 COMPACT SUPER TOUGH 721ST-8;Parker;721ST-8;;;;;;;;;
0721ST-12;MTR SLANG R12 COMPACT SUPER TOUGH 721ST-12;Parker;721ST-12;;;;;;;;;
0721ST-16;MTR SLANG R12 COMPACT SUPER TOUGH 721ST-16;Parker;721ST-16;;;;;;;;;
0721TC-06;MTR SLANG R12 COMPACT TOUGH COVER 721TC-6;Parker;721TC-6;;;;;;;;;
0721TC-08;MTR SLANG R12 COMPACT TOUGH COVER 721TC-8;Parker;721TC-8;;;;;;;;;
0721TC-10;MTR SLANG R12 COMPACT TOUGH COVER 721TC-10;Parker;721TC-10;;;;;;;;;
0721TC-12;MTR SLANG R12 COMPACT TOUGH COVER 721TC-12;Parker;721TC-12;;;;;;;;;
0721TC-16;MTR SLANG R12 COMPACT TOUGH COVER 721TC-16;Parker;721TC-16;;;;;;;;;
0721TC-20;MTR SLANG R12 COMPACT TOUGH COVER 721TC-20;Parker;721TC-20;;;;;;;;;
0721TC-24;MTR SLANG R12 COMPACT TOUGH COVER 721TC-24;Parker;721TC-24;;;;;;;;;
0721TC-32;MTR SLANG R12 COMPACT TOUGH COVER 721TC-32;Parker;721TC-32;;;;;;;;;
0722ST-06;NO-SKIVE 9.5MM (3/8) DN10 S.T. COMPACT W.P. 4000 PSI;Parker;722ST-6;280;;;;;;;;
0722ST-08;NO-SKIVE 12.7MM (1/2) DN12 S.T. COMPACT W.P. 4000 PSI;Parker;722ST-8;280;;;;;;;;
0722ST-12;NO-SKIVE 19.1MM (3/4) DN20 S.T. COMPACT W.P. 4000 PSI;Parker;722ST-12;280;;;;;;;;
0722ST-16;NO-SKIVE 25.4MM (1) DN25 S.T. COMPACT W.P. 4000 PSI;Parker;722ST-16;280;;;;;;;;
0722ST-20;NO-SKIVE 31.8MM (1-1/4) DN32 S.T. COMPACT W.P. 3000 PSI;Parker;722ST-20;206,8;;;;;;;;
0722TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMPACT W.P. 4000 PSI;Parker;722TC-6;280;;;;;;;;
0722TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMPACT W.P. 4000 PSI;Parker;722TC-8;280;;;;;;;;
0722TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMPACT 2SC W.P. 4000PSI;Parker;722TC-10;280;;;;;;;;
0722TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMPACT W.P. 4000 PSI;Parker;722TC-12;280;;;;;;;;
0722TC-16;NO-SKIVE 24.4MM (1) DN25 T.C. COMPACT W.P. 4000 PSI;Parker;722TC-16;280;;;;;;;;
0722TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMPACT W.P. 3000 PSI;Parker;722TC-20;206,8;;;;;;;;
0722TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMPACT W.P. 2500 PSI;Parker;722TC-24;172,4;;;;;;;;
0731-12;NO-SKIVE 19.1MM (3/4) DN20 4SH W.P. 42.0 MPa 731-12;Parker;731-12;420;;;;;;;;
0731-16;NO-SKIVE 25.4MM (1) DN25 4SH W.P. 38.0 MPa 731-16;Parker;731-16;380;;;;;;;;
0787-04;NO-SKIVE 6.4MM (1/4) DN06 COMP. SPIRAL W.P. 35.0 MPa;Parker;787-4;350;;;;;;;;
0787-06;NO-SKIVE 9.5MM (3/8) DN10 COMP. SPIRAL W.P. 35.0 MPa;Parker;787-6;350;;;;;;;;
0787-12;NO-SKIVE 19.1MM (3/4) DN20 COMP. SPIRAL W.P. 35.0 MPa;Parker;787-12;350;;;;;;;;
0787-16;NO-SKIVE 25.4MM (1) DN25 COMP. SPIRAL W.P. 35.0 MPa 787;Parker;787-16;350;;;;;;;;
0787-20;NO-SKIVE 31.8MM (1-1/4) DN32 COMP. SPIRAL W.P. 35.0 MPa;Parker;787-20;350;;;;;;;;
0787-32;NO-SKIVE 50.8MM (2) DN50 COMP. SPIRAL W.P. 35.0 MPa 787;Parker;787-32;350;;;;;;;;
0787ST-04;NO-SKIVE 6.4MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787ST-4;350;;;;;;;;
0787ST-06;NO-SKIVE 9.5MM (3/8) DN10 S.T. COMP. SPIRAL W.P. 35.0 MPa;Parker;787ST-6;350;;;;;;;;
0787ST-08;NO-SKIVE 12.7MM (1/2) DN12 S.T. COMP. SPIRAL W.P. 35.0 MPa;Parker;787ST-8;350;;;;;;;;
0787ST-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787ST-12;350;;;;;;;;
0787ST-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787ST-16;350;;;;;;;;
0787ST-20;NO-SKIVE 31.8MM (11/4) DN31 TC. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787ST-20;350;;;;;;;;
0787ST-24;NO-SKIVE 38 MM (11/2) DN38 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787ST-24;350;;;;;;;;
0787ST-32;NO-SKIVE 50.8MM (2) DN50 S.T. COMP. SPIRAL W.P. 35.0 MPa;Parker;787ST-32;350;;;;;;;;
0787TC-04;NO-SKIVE 19.1MM (1/4) DN6 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787TC-4;350;;;;;;;;
0787TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787TC-6;350;;;;;;;;
0787TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787TC-8;350;;;;;;;;
0787TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787TC-10;350;;;;;;;;
0787TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMP. SPIRAL W.P. 35.0 MPa 7;Parker;787TC-12;350;;;;;;;;
0787TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMP. SPIRAL W.P. 35.0 MPa 787;Parker;787TC-16;350;;;;;;;;
0787TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787TC-20;350;;;;;;;;
0787TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMP. SPIRAL W.P. 35.0 MPa;Parker;787TC-24;350;;;;;;;;
0787TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. COMP. SPIRAL W.P. 35.0 MPa 787;Parker;787TC-32;350;;;;;;;;
0797-10;NO-SKIVE 15.9MM (5/8) DN16 COMP. SPIRAL W.P. 42.0 MPa;Parker;797-10;420;;;;;;;;
0797-12;NO-SKIVE 19.1MM (3/4) DN20 COMP. SPIRAL W.P. 42.0 MPa 797-12;Parker;797-12;420;;;;;;;;
0797-16;NO-SKIVE 25.4MM (1) DN25 COMP. SPIRAL W.P. 42.0 MPa 797-16;Parker;797-16;420;;;;;;;;
0797-20;NO-SKIVE 31.8MM DN32 COMP. SPIRAL W.P. 42.0 MPa;Parker;797-20;420;;;;;;;;
0797-24;NO-SKIVE 38.1MM DN38 COMP. SPIRAL W.P. 42.0 MPa;Parker;797-24;420;;;;;;;;
0797-32;NO-SKIVE 50.8MM DN51 COMP. SPIRAL W.P. 42.0 MPa;Parker;797-32;420;;;;;;;;
0797ST-04;NO-SKIVE 6.4MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-4;420;;;;;;;;
0797ST-06;NO-SKIVE 9.5MM (3/8) DN10 S.T. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-6;420;;;;;;;;
0797ST-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-8;420;;;;;;;;
0797ST-10;NO-SKIVE 15.9MM (5/8) DN16 COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-10;420;;;;;;;;
0797ST-12;NO-SKIVE 19.0MM (3/4) DN20 S.T. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-12;420;;;;;;;;
0797ST-16;NO-SKIVE 25.4MM (1) DN25 COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-16;420;;;;;;;;
0797ST-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-20;420;;;;;;;;
0797ST-24;NO-SKIVE 38.1MM (1-1/2) DN38 S.T. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-24;420;;;;;;;;
0797ST-32;NO-SKIVE 50.8MM (2) DN50 S.T. COMP. SPIRAL W.P. 42.0 MPa;Parker;797ST-32;420;;;;;;;;
0797TC-04;NO-SKIVE 6.4MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797TC-4;420;;;;;;;;
0797TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797TC-6;420;;;;;;;;
0797TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMP. SPIRAL W.P. 42.0 MPa 7;Parker;797TC-8;420;;;;;;;;
0797TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797TC-10;420;;;;;;;;
0797TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMP. SPIRAL W.P. 42.0 MPa 7;Parker;797TC-12;420;;;;;;;;
0797TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMP. SPIRAL W.P. 42.0 MPa 797;Parker;797TC-16;420;;;;;;;;
0797TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797TC-20;420;;;;;;;;
0797TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMP. SPIRAL W.P. 42.0 MPa;Parker;797TC-24;420;;;;;;;;
0797TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. COMP. SPIRAL W.P. 42.0 MPa 797;Parker;797TC-32;420;;;;;;;;
0811-03;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 264 BAR;Xtraflex;T1B005;264;81000-03;10,8;;;;;;
0811-04;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 224 BAR;Xtraflex;T1B006;224;81000-04;12,5;;;;;;
0811-04-316;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST 316L BRAID;Polyfluor plastics;801AGP316DN06;;;;;;;;;
0811-05;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 207 BAR;Dicsa;M290008;207;81000-05;14,4;;;;;;
0811-05-316;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST 316L BRAID;Polyfluor plastics;801AGP316dn08;;;;;;;;;
0811-06;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 175 BAR;Parker;2030T-06V70;175;81000-06;16;;;;;;
0811-06A;SMOOTH PTFE HOSE, WITH ST/ST BRAID ANTI STATIC;Xtraflex;T1AB010;;;;;;;;;
0811-08;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 161 BAR;Polyfluor plastics;801AGPDN12;161;81000-08;20,5;;;;;;
0811-08A;SMOOTH PTFE HOSE, WITH ST/ST BRAID ANTI STATIC;Xtraflex;T1AB012;;;;;;;;;
0811-10;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 114 BAR;Dicsa;M290016;114;;;;;;;;
0811-12;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 103 BAR;Xtraflex;TB1020;103;;;;;;;;
0811-16;SMOOTH, BIG BORE PTFE HOSE, WITH ST/ST BRAID W.P. 80 BAR;Dicsa;M290025;80;;;;;;;;
0815-04;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 172 BAR;Xtraflex;TCB1E006L;172;;;;;;;;
0815-05;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 138 BAR;Xtraflex;TCB1E008;138;;;;;;;;
0815-06;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 138 BAR;Xtraflex;TCB1E010L;138;87000-06;15,7;;;;;;
0815-08;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 103 BAR;Xtraflex;TCB1E012L;103;87000-08;20,9;;;;;;
0815-08A;CONVULTED, PTFE HOSE, WITH ST/ST BRAID ANTISTATIC;Dicsa;M293013;;;;;;;;;
0815-10;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 83 BAR;Xtraflex;TCB1E016L;83;87000-10;23;;;;;;
0815-12;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 69 BAR;Xtraflex;TCB1E020L;69;87000-12;27;;;;;;
0815-16;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 46 BAR;Xtraflex;TCB1E025;46;87000-16;34;;;;;;
0815-16A;CONVULTED, PTFE HOSE, WITH ST/ST BRAID ANTI STATIC;Dicsa;M293025;;;;;;;;;
0815-20;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 34 BAR;Xtraflex;TCB1E032L;34;87000-20;40;;;;;;
0815-24;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 30 BAR;Dicsa;M292038;30;87000-24;47,1;;;;;;
0815-32;CONVULTED, PTFE HOSE, WITH ST/ST BRAID W.P. 23 BAR;Xtraflex;TCB1E050;23;87000-32;59,2;;;;;;
2020N-025V30;THERMOPLASTIC HIGH PRESSURE HOSE DN 04;Parker;2020N-025V30;;;;;;;;;
2020N-02V30;THERMOPLASTIC HIGH PRESSURE HOSE DN 03;Parker;2020N-02V30;;;;;;;;;
2022N-06V91-10K;THERMOPLASTIC HIGH PRESSURE HOSE DN 10;Parker;2022N-06V91-10K;;;;;;;;;
2022N-06V91-5K;THERMOPLASTIC HIGH PRESSURE HOSE DN 10;Parker;2022N-06V91-5K;;;;;;;;;
2030T-12V70;PTFE-HOSE DN 20;Parker;2030T-12V70;;;;;;;;;
2040H-03-03V10V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 05 DUPLO;Parker;2040H-03-03V10V10;;;;;;;;;
2040H-03V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 05;Parker;2040H-03V10;;;;;;;;;
2040H-04-04-04V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 06 TRIPPEL;Parker;2040H-04-04-04V10V10V10;;;;;;;;;
2040H-04V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 06;Parker;2040H-04V10;;;;;;;;;
2040H-05-05V10V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 08 TWIN;Parker;2040H-05-05V10V10-DL;;;;;;;;;
2040H-05V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 08;Parker;2040H-05V10;;;;;;;;;
2040H-06V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 10;Parker;2040H-06V10;;;;;;;;;
2040H-08V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 12;Parker;2040H-08V10;;;;;;;;;
2040H-10V10;THERMOPLASTIC HIGH PRESSURE HOSE DN 16;Parker;2040H-10V10;;;;;;;;;
2040N-02V00;MULTI PURPOSE HOSE (1/8) DN03 W.P. 350 BAR;Parker;2040N-02V00;350;;;;;;;;
2040N-03V00;MULTI PURPOSE HOSE (3/16) DN05 W.P. 340 BAR;Parker;2040N-03V00;340;;;;;;;;
2040N-04V00;MULTI PURPOSE HOSE (1/4) DN06 W.P. 310 BAR;Parker;2040N-04V00;310;;;;;;;;
2040N-05V00;MULTI PURPOSE HOSE (5/16 DN08 W.P. 250 BAR;Parker;2040N-05V00;250;;;;;;;;
2040N-06V00;MULTI PURPOSE HOSE (3/8) DN10 W.P. 240 BAR;Parker;2040N-06V00;240;;;;;;;;
2040N-08V00;MULTI PURPOSE HOSE (1/2) DN12 W.P. 185 BAR;Parker;2040N-08V00;185;;;;;;;;
2040N-10V00;MULTI PURPOSE HOSE (5/8) DN16 W.P. 140 BAR;Parker;2040N-10V00-DL;140;;;;;;;;
2040N-12V00;MULTI PURPOSE HOSE (3/4) DN20 W.P. 125 BAR;Parker;2040N-12V00;125;;;;;;;;
2040N-16V00;MULTI PURPOSE HOSE (1) DN25 W.P. 100 BAR;Parker;2040N-16V00-DL;100;;;;;;;;
221FR-12;5/8 MARINE FUEL;Hydrasun;221FR-12;;;;;;;;;
221FR-16;7/8 MARINE FUEL 221FR-16-RL;Parker;221FR-16;35;;;;;;;;
221FR-5;1/4 MARINE FUEL HOSE;Parker;221FR-5;35;;;;;;;;
221FR-6;5/16 MARINE FUEL HOSE;Parker;221FR-6;35;;;;;;;;
221FR-8;13/32 MARINE FUEL;Hydrasun;221FR-8;;;;;;;;;
2244N-025V00;THERMOPLASTIC HIGH PRESSURE 3.9MM (5/32) DN04 W.P. 750 BAR;Parker;2244N-025V00;750;;;;;;;;
2244N-06V00;THERMOPLASTIC HIGH PRESSURE 9.8MM (3/8) DN10 W.P. 535 BAR;Parker;2244N-06V00;535;;;;;;;;
2244N-08V10;THERMOPLASTIC HIGH PRESSURE 12.9MM (1/2) DN12 W.P. 550 BAR;Parker;2244N-08V10;550;;;;;;;;
2244N-20V30;THERMOPLASTIC HIGH PRESSURE 31.8MM (1-1/4) DN32 W.P. 275 BAR;Parker;2244N-20V30;275;;;;;;;;
2245D-03V32;MTR POLYFLEX SLANG;Hydrasun;2245D-03V32;;;;;;;;;
2245N-04V00;THERMOPLASTIC HIGH PRESSURE 6.3MM (1/4) DN06 W.P. 450 BAR;Parker;2245N-04V00;450;;;;;;;;
2245N-06-06V00V00;THERMOPLASTIC HIGH PRESSURE 9.7MM (3/8) DN10 W.P. 375 BAR;Parker;2245N-06-06V00V00;375;;;;;;;;
2245N-06V00;THERMOPLASTIC HIGH PRESSURE 9.7MM (3/8) DN10 W.P. 375 BAR;Parker;2245N-06V00;375;;;;;;;;
2245N-06V30;THERMOPLASTIC HIGH PRESSURE 9.7MM (3/8) DN10 W.P. 375 BAR;Parker;2245N-06V30;375;;;;;;;;
2245N-08V00;THERMOPLASTIC HIGH PRESSURE 12.8MM (1/2) DN12 W.P. 350 BAR;Parker;2245N-08V00;350;;;;;;;;
2245N-08V30;THERMOPLASTIC MEDIUM PRESSURE 8.0MM (5/1) DN08 R7 W.P. 165B;Parker;2245N-08V30;165;;;;;;;;
2245N-10V30;THERMOPLASTIC HIGH PRESSURE 16.0MM (5/8) DN16 W.P. 330 BAR;Parker;2245N-10V30;330;;;;;;;;
2245N-12V30;THERMOPLASTIC HIGH PRESSURE 19.6MM (3/4) DN20 W.P. 300 BAR;Parker;2245N-12V30;300;;;;;;;;
2245N-16V30;THERMOPLASTIC HIGH PRESSURE 25.0MM (1) DN25 W.P. 275 BAR;Parker;32;275;;;;;;;;
2248D-05V32-TC;WP. 1035 BAR / BP. 2588 BAR ID. 8.1 ±0.1 / OD. 13.4 ±0.1;Parker;2248D-05V32-TC;1035;;;;;;;;
2370N-04-04V10V10;MTR POLYFLEX SLANG;Parker;2370N-04-04V10V10;;;;;;;;;
2370N-06/3-FACH;MTR POLYFLEX SLANG;Parker;2370N-06/3-FACH;;;;;;;;;
2370N-06-06V10V10;MTR POLYFLEX SLANG;Parker;2370N-06-06V10V10-DL;;;;;;;;;
