artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Pilaar;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Pilaar;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm);1delig_1;1delig_1 - Persmaat (mm);1delig_1 - Insteekdiepte (mm);1delig_1 - Schilmaat intern (mm);1delig_1 - Schilmaat extern (mm);1delig_2;1delig_2 - Persmaat (mm);1delig_2 - Insteekdiepte (mm);1delig_2 - Schilmaat intern (mm);1delig_2 - Schilmaat extern (mm);1delig_3;1delig_3 - Persmaat (mm);1delig_3 - Insteekdiepte (mm);1delig_3 - Schilmaat intern (mm);1delig_3 - Schilmaat extern (mm)
0462PU-06;NO-SKIVE 9.5MM (3/8) DN10 PU COMPACT 2SC W.P. 350 BAR;Parker;462PU-6;350;13001-06MM;10;20,1;;;13002-06MM;10;20,4;;;48;20,6;22;;;;;;;;;;;;
0462PU-06-06;NO-SKIVE 9.5MM (3/8) DN10 PU COMPACT 2SC W.P. 350 BAR TWIN;Parker;462PU-6-6;350;;;;;;;;;;;48;20,6;22;;;;;;;;;;;;
0462PU-08;NO-SKIVE 12.7MM (1/2) DN12 PU COMPACT 2SC W.P. 310 BAR;Parker;462PU-8;310;13001-08MM;10;24,3;;;13002-08MM;10;23;;;48;23,6;24;;;;;;;;;;;;
0462PU-08-08;NO-SKIVE 12.7MM (1/2) DN12 PU COMPACT 2SC W.P. 310 BAR TWIN;Parker;462PU-8-8;310;;;;;;;;;;;48;23,6;24;;;;;;;;;;;;
0462PU-10;NO-SKIVE 15.9MM (5/8) DN16 PU COMPACT 2SC W.P. 280 BAR;Parker;462PU-10;280;13001-10MM;10;27,7;;;13002-10MM;10;26,8;;;48;26,9;25;;;46;26,9;25;;;;;;;
0462ST-04;NO-SKIVE 6.3MM (1/4) DN06 S.T. COMPACT 2SC W.P. 425 BAR 462S;Parker;462ST-4;425;13001-04MM;10;16,7;;;13002-04MM;10;15,5;;;48;16,65;22;;;43;16,65;21;;;46;15,6;23;;
0462ST-05;NO-SKIVE 7.9MM (5/16) DN08 S.T. COMPACT 2SC W.P. 400 BAR 462;Parker;462ST-5;400;13001-05MM;10;18,7;;;13002-05MM;10;17,8;;;48;18,3;24;;;46;17,4;23;;;;;;;
0462ST-06;NO-SKIVE 9.5MM (3/8) DN10 S.T. COMPACT 2SC W.P. 350 BAR 462S;Parker;462ST-6;350;13001-06MM;10;20,1;;;13002-06MM;10;20,4;;;48;20,6;22;;;43;21,2;29;;;46;20,6;22;;
0462ST-08;NO-SKIVE 12.7MM (1/2) DN12 S.T. COMPACT 2SC W.P. 310 BAR 462;Parker;462ST-8;310;13001-08MM;10;24,3;;;13002-08MM;10;23;;;48;23,6;24;;;43;24,25;33;;;46;23,6;24;;
0462ST-10;NO-SKIVE 15.9MM (5/8) DN16 S.T. COMPACT 2SC W.P. 280 BAR 462;Parker;462ST-10;280;13001-10MM;10;27,7;;;13002-10MM;10;26,8;;;48;26,9;25;;;43;27,2;40;;;46;26,9;25;;
0462ST-12;NO-SKIVE 19.1MM (3/4) DN20 S.T. COMPACT 2SC W.P. 280 BAR 462;Parker;462ST-12;280;13001-12MM;10;31,4;;;13002-12MM;10;30,7;;;48;30,75;25;;;43;31,9;38;;;46;30,75;25;;
0462ST-16;NO-SKIVE 25.4MM (1) DN25 S.T. COMPACT 2SC W.P. 210 BAR 462ST;Parker;462ST-16;210;13001-16MM;10;39,6;;;13002-16MM;10;38,6;;;48;38,35;30;;;43;40,65;44;;;46;38,35;29;;
0462ST-20;NO-SKIVE 31.8MM (1-1/4) DN32 S.T. COMPACT 2SC W.P. 172 BAR 4;Parker;462ST-20;172;13001-20MM;10;47,2;;;13002-20MM;10;46,9;;;48;50,3;48;;;;;;;;;;;;
0462TC-04;NO-SKIVE 6.3MM (1/4) DN06 T.C. COMPACT 2SC W.P. 425 BAR 462T;Parker;462TC-4;425;13001-04MM;10;16,7;;;13002-04MM;10;15,5;;;48;16,65;22;;;43;16,65;21;;;46;15,6;23;;
0462TC-05;NO-SKIVE 7.9MM (5/16) DN08 T.C. COMPACT 2SC W.P. 400 BAR 462;Parker;462TC-5;400;13001-05MM;10;18,7;;;13002-05MM;10;17,8;;;48;18,3;24;;;46;17,4;23;;;;;;;
0462TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMPACT 2SC W.P. 350 BAR 462T;Parker;462TC-6;350;13001-06MM;10;20,1;;;13002-06MM;10;20,4;;;48;20,6;22;;;43;21,2;29;;;46;20,6;22;;
0462TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMPACT 2SC W.P. 310 BAR 462;Parker;462TC-8;310;13001-08MM;10;24,3;;;13002-08MM;10;23;;;48;23,6;24;;;43;24,25;33;;;46;23,6;24;;
0462TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. COMPACT 2SC W.P. 280 BAR 462;Parker;462TC-10;280;13001-10MM;10;27,7;;;13002-10MM;10;26,8;;;48;26,9;25;;;43;27,2;40;;;46;26,9;25;;
0462TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMPACT 2SC W.P. 280 BAR 462;Parker;462TC-12;280;13001-12MM;10;31,4;;;13002-12MM;10;30,7;;;48;30,75;25;;;43;31,9;38;;;46;30,75;25;;
0462TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMPACT 2SC W.P. 210 BAR 462TC;Parker;462TC-16;210;13001-16MM;10;39,6;;;13002-16MM;10;38,6;;;48;38,35;30;;;43;40,65;44;;;46;38,35;29;;
0462TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMPACT 2SC W.P. 172 BAR 4;Parker;462TC-20;172;13001-20MM;10;47,2;;;13002-20MM;10;46,9;;;48;50,3;48;;;43;50,3;48;;;;;;;
0462TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMPACT 2SC W.P. 146 BAR;Parker;462TC-24;146;;;;;;13002-24MM;10;;;;48;58,4;37;;;43;58,5;37;;;;;;;
0462TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. COMPACT 2SC W.P. 112 BAR 462TC;Parker;462TC-32;112;;;;;;13002-32MM;10;;;;48;69,7;46;;;43;69,7;46;;;;;;;
0462TC-40;NO-SKIVE 63.5MM (2-1/2) DN63 T.C. COMPACT 2SC W.P. 70 BAR 46;Parker;462TC-40;70;;;;;;13002-40MM;10;;;;48;80,7;55;;;;;;;;;;;;
0462TC-48;NO-SKIVE 76.2MM (3) DN75 T.C. COMPACT 2SC W.P. 70 BAR;Parker;462TC-48;70;;;;;;13002-48MM;10;;;;48;97,5;63;;;;;;;;;;;;
0463-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 2SC W.P. 400 BAR BLUE 463;Parker;463-5-BLU;400;13000-05;10;19;;23;;;;;;48;18,3;24;;;46;17,4;23;;;;;;;
0463-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 2SC W.P. 400 BAR BLUE 463-;Parker;463-6-BLU-GT80;400;13000-06;10;20,8;;24;;;;;;48;20,6;22;;;46;20,6;22;;;;;;;
0463-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 2SC W.P. 350 BAR BLUE 463;Parker;463-8-BLU;350;13000-08;10;24,4;;26;;;;;;48;23,6;24;;;46;23,6;24;;;;;;;
0477-04;NO-SKIVE 6.3MM (1/4) DN10 POWERLIFT W.P. 450 BAR 477-4;Parker;477-4;450;;;;;;13002-04MM;10;15,5;;;48;16,65;22;;;;;;;;;;;;
0477-05;NO-SKIVE 7.9MM (5/16) DN08 POWERLIFT W.P. 425 BAR 477-5;Parker;477-5;425;;;;;;13002-05MM;10;17,8;;;48;18,3;24;;;;;;;;;;;;
0477-06;NO-SKIVE 9.5MM (3/8) DN10 POWERLIFT W.P. 400 BAR 477-6;Parker;477-6;400;;;;;;13002-06MM;10;20,4;;;48;20,6;22;;;;;;;;;;;;
0477-08;NO-SKIVE 12.7MM (1/2) DN12 POWERLIFT W.P. 380 BAR 477-8;Parker;477-8;380;;;;;;13002-08MM;10;23;;;48;23,6;24;;;;;;;;;;;;
0477-10;NO-SKIVE 15.9MM (5/8) DN16 POWERLIFT W.P. 350 BAR 477-10;Parker;477-10;350;;;;;;13002-10MM;10;26,8;;;48;26,9;25;;;;;;;;;;;;
0477-12;NO-SKIVE 19.1MM (3/4) DN20 POWERLIFT W.P. 350 BAR 477-12;Parker;477-12;350;;;;;;13002-12MM;10;30,7;;;48;30,75;25;;;;;;;;;;;;
0477-16;NO-SKIVE 25.4MM (1) DN25 POWERLIFT W.P. 250 BAR 477-16;Parker;477-16;280;;;;;;13002-16MM;10;38,6;;;48;38,35;30;;;;;;;;;;;;
0477TC-04;NO-SKIVE 6.3MM (1/4) DN10 T.C. POWERLIFT W.P. 450 BAR;Parker;477TC-4;450;;;;;;13002-04MM;10;15,5;;;48;16,65;22;;;;;;;;;;;;
0477TC-05;NO-SKIVE 7.9MM (5/16) DN08 T.C. POWERLIFT W.P. 425 BAR;Parker;477TC-5;425;;;;;;13002-05MM;10;17,8;;;48;18,3;24;;;;;;;;;;;;
0477TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. POWERLIFT W.P. 400 BAR;Parker;477TC-6;400;;;;;;13002-06MM;10;20,4;;;48;20,6;22;;;;;;;;;;;;
0477TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. POWERLIFT W.P. 380 BAR;Parker;477TC-8;380;;;;;;13002-08MM;10;23;;;48;23,6;24;;;;;;;;;;;;
0477TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C.POWERLIFT W.P. 350 BAR;Parker;477TC-10;350;;;;;;13002-10MM;10;26,8;;;48;26,9;25;;;;;;;;;;;;
0477TC-12;NO-SKIVE 19.1MM (3/4) DN20 POWERLIFT W.P. 350 BAR;Parker;477TC-12;350;;;;;;13002-12MM;10;30,7;;;48;30,75;25;;;;;;;;;;;;
0477TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. POWERLIFT W.P. 280 BAR;Parker;477TC-16;280;;;;;;13002-16MM;10;38,6;;;48;38,35;30;;;;;;;;;;;;
0487-04;NO-SKIVE 6.4MM (1/4) DN06 S.T. GLOBAL . SPIRAL W.P. 28.0 MPa;Parker;487-4;280;;;;;;;;;;;48;16,65;22;;;43;16,64;20,57;;;;;;;
0487-08;NO-SKIVE 12.7MM (1/2) DN13. COMP. SPIRAL W.P. 28.0 MPa;Parker;487-08;280;;;;;;;;;;;48;23,6;24;;;43;24,26;33,27;;;;;;;
0487-16;NO-SKIVE 25MM (1) DN25. COMP. SPIRAL W.P. 28.0 MPa;Parker;487-16;280;;;;;;;;;;;43;41,66;44,45;;;;;;;;;;;;
0487ST-04;NO-SKIVE 6.4MM (1/4) DN06 S.T. GLOBAL . SPIRAL W.P. 28.0 MPa;Parker;487ST-4;280;;;;;;;;;;;48;16,65;22;;;43;16,65;21;;;;;;;
0487ST-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. GLOBALCORE W.P. 280 BAR;Parker;487ST-6;280;;;;;;;;;;;48;20,6;22;;;43;21,2;29;;;;;;;
0487ST-08;NO-SKIVE 12.7MM (1/2) DN12 S.T. GLOBAL CORE W.P. 280 BAR;Parker;487ST-8;280;;;;;;;;;;;48;23,6;24;;;43;24,25;33;;;;;;;
0487ST-10;NO-SKIVE 15.9MM (5/8) DN16 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-10;280;;;;;;;;;;;48;26,9;25;;;43;27,2;40;;;;;;;
0487ST-12;NO-SKIVE 19.1MM (3/4) DN19 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-12;280;;;;;;;;;;;48;30,75;25;;;43;31,9;25;;;;;;;
0487ST-16;NO-SKIVE 25.4MM (1) DN25 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-16;280;;;;;;;;;;;43;41,66;44,45;;;;;;;;;;;;
0487ST-20;NO-SKIVE 31.8 MM (11/4) DN31 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-20;280;;;;;;;;;;;77;50,30;63,8;;;;;;;;;;;;
0487ST-24;NO-SKIVE 38.1 MM (11/2) DN38 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-24;280;;;;;;;;;;;77;59,20;67,7;;;;;;;;;;;;
0487ST-32;NO-SKIVE 50.8 MM (2) DN51 S.T. CLOBALCORE W.P. 280 BAR;Parker;487ST-32;280;;;;;;;;;;;77;73,05;77,5;;;;;;;;;;;;
0487TC-04;NO-SKIVE 6.4MM (1/4) DN06 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-4;280;;;;;;;;;;;48;16,65;22;;;43;16,65;21;;;;;;;
0487TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-6;280;;;;;;;;;;;48;20,6;22;;;43;21,2;29;;;;;;;
0487TC-08;NO-SKIVE 12.7MM (1/2) DN12 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-8;280;;;;;;;;;;;48;23,6;24;;;43;24,25;33;;;;;;;
0487TC-10;NO-SKIVE 15.9MM (5/8) DN16 T.C. GLOBALCORE W.P. 280 BAR;Parker;487TC-10;280;;;;;;;;;;;48;26,9;25;;;43;27,2;40;;;;;;;
0487TC-12;NO-SKIVE 19.1MM (3/4) DN20 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-12;280;;;;;;;;;;;48;30,75;25;;;43;31,9;25;;;;;;;
0487TC-16;NO-SKIVE 25.4MM (1) DN25 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-16;280;;;;;;;;;;;43;41,66;44,45;;;;;;;;;;;;
0487TC-20;NO-SKIVE 31.8MM (1-1/4) DN32 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-20;280;;;;;;;;;;;77;50,30;63,8;;;;;;;;;;;;
0487TC-24;NO-SKIVE 38.1MM (1-1/2) DN38 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-24;280;;;;;;;;;;;77;59,20;67,7;;;;;;;;;;;;
0487TC-32;NO-SKIVE 50.8MM (2) DN50 T.C. COMP. SPIRAL W.P. 28.0 MPa;Parker;487TC-32;280;;;;;;;;;;;77;73,05;77,5;;;;;;;;;;;;
0492-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT 1SC W.P. 280 BAR;Parker;492-4;280;13002-04MM;10;15,1;;;13002-04;10;14,6;;;46;14,6;23;;;;;;;;;;;;
0492-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT 1SC W.P. 250 BAR 492-5;Parker;492-5;250;13002-05MM;10;16,9;;;13002-05;10;16,7;;;46;16,4;23;;;;;;;;;;;;
0492-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT 1SC W.P. 225 BAR 492-6;Parker;492-6;225;13002-06MM;10;19,4;;;13002-06;10;18,5;;;46;19,55;22;;;;;;;;;;;;
0492-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT 1SC W.P. 190 BAR 492-08;Parker;492-8-GT100;190;13002-08MM;10;22,1;;;13002-08;10;22,3;;;46;22,6;24;;;;;;;;;;;;
0492-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT 1SC W.P. 150 BAR 492-10;Parker;492-10;150;13002-10MM;10;26;;;13002-10;10;24,9;;;46;25,9;25;;;;;;;;;;;;
0492-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT 1SC W.P. 150 BAR 492-12;Parker;492-12;150;13002-12MM;10;29,8;;;13002-12;10;28,7;;;46;29,7;25;;;;;;;;;;;;
0492-16;NO-SKIVE 25.4MM (1) DN25 COMPACT 1SC W.P. 110 BAR 492-16;Parker;492-16;110;13002-16MM;10;37,4;;;;;;;;46;37,35;29;;;;;;;;;;;;
0492-20;NO-SKIVE 31.8MM (1-1/4) DN32 COMPACT 1SC W.P. 75 BAR 492-20;Parker;492-20-WR;75;;;;;;;;;;;46;44,2;35;;;;;;;;;;;;
0492ST-04;NO-SKIVE 6.3MM (1/4) DN06 COMPACT S.T. 1SC W.P. 280 BAR 492S;Parker;492ST-4;280;13002-04MM;10;15,1;;;13002-04;10;14,6;;;46;14,6;23;;;;;;;;;;;;
0492ST-05;NO-SKIVE 7.9MM (5/16) DN08 COMPACT S.T. 1SC W.P. 250 BAR 492;Parker;492ST-5;250;13002-05MM;10;16,9;;;13002-05;10;16,7;;;46;16,4;23;;;;;;;;;;;;
0492ST-06;NO-SKIVE 9.5MM (3/8) DN10 COMPACT S.T. 1SC W.P. 225 BAR 492S;Parker;492ST-6;225;13002-06MM;10;19,4;;;13002-06;10;18,5;;;46;19,55;22;;;;;;;;;;;;
0492ST-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT S.T. 1SC W.P. 190 BAR 492;Parker;492ST-8;190;13002-08MM;10;22,1;;;13002-08;10;22,3;;;46;22,6;24;;;;;;;;;;;;
0492ST-10;NO-SKIVE 15.9MM (5/8) DN16 COMPACT S.T. 1SC W.P. 150 BAR 492;Parker;492ST-10;150;13002-10MM;10;26;;;13002-10;10;24,9;;;46;25,9;25;;;;;;;;;;;;
0492ST-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT S.T. 1SC W.P. 150 BAR 492;Parker;492ST-12;150;13002-12MM;10;29,8;;;13002-12;10;28,7;;;46;29,7;25;;;;;;;;;;;;
0492ST-16;NO-SKIVE 25.4MM (1) DN25 COMPACT S.T. 1SC W.P. 110 BAR 492ST;Parker;492ST-16;110;13002-16MM;10;37,4;;;;;;;;46;37,35;29;;;;;;;;;;;;
0492ST-20;NO-SKIVE 31.8MM (1-1/4) DN32 COMPACT S.T. 1SC W.P. 75 BAR;Parker;0492ST-20;75;;;;;;;;;;;46;44,2;35;;;;;;;;;;;;
0492TC-04;NO-SKIVE 6.3MM (1/4) DN06 T.C. COMPACT 1SC W.P. 280 BAR;Parker;492TC-4;280;13002-04MM;10;15,1;;;13002-04;10;14,6;;;46;14,6;23;;;;;;;;;;;;
0492TC-06;NO-SKIVE 9.5MM (3/8) DN10 T.C. COMPACT 1SC W.P. 225 BAR;Parker;492TC-6;225;13002-06MM;10;19,4;;;13002-06;10;18,5;;;46;19,55;22;;;;;;;;;;;;
0492TC-08;NO-SKIVE 12.7MM (1/2) DN12 COMPACT T.C. 1SC W.P. 190 BAR;Parker;492TC-8;190;13002-08MM;10;22,1;;;13002-08;10;22,3;;;46;22,6;24;;;;;;;;;;;;
0492TC-12;NO-SKIVE 19.1MM (3/4) DN20 COMPACT T.C. 1SC W.P. 150 BAR;Parker;492TC-12;150;13002-12MM;10;29,8;;;13002-12;10;28,7;;;46;29,7;25;;;;;;;;;;;;
0492TC-16;NO-SKIVE 25.4MM (1) DN25 COMPACT T.C. 1SC W.P. 110 BAR;Parker;492TC-16;110;13002-16MM;10;37,4;;;;;;;;46;37,35;29;;;;;;;;;;;;
0493-04;MTR SLANG 1 INLAGE PARKER 493 493-4-BLU;Parker;493-4-BLU;200;13002-04MM;10;15,9;;;;;;;;48;16,65;22;;;;;;;;;;;;
0493-05;MTR SLANG 1 INLAGE PARKER 493 493-5-BLU-RL;Parker;493-5-BLU-RL;200;13002-05MM;10;17,8;;;;;;;;48;18,3;24;;;;;;;;;;;;
0493-06;MTR SLANG 1 INLAGE PARKER 493 493-6-BLU-RL;Parker;493-6-BLU-RL;200;13002-06MM;10;20,4;;;;;;;;48;20,6;22;;;;;;;;;;;;
0493-08;MTR SLANG 1 INLAGE PARKER 493 493-8-BLU;Parker;493-8-BLU;175;13002-08MM;10;23,4;;;;;;;;48;23,6;24;;;;;;;;;;;;
0501-04;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);JB Hydraulics;20-600-06;;16001-04;10;;;;;;;;;;;;;;;;;;;;;;;
0501-06;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);JB Hydraulics;20-600-10;;16001-06;10;;;;;;;;;;;;;;;;;;;;;;;
0501-08;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);JB Hydraulics;20-600-13;;16001-08;10;;;;;;;;;;;;;;;;;;;;;;;
0501-10;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);Interpump;TFS0006I10;;16001-10;10;25,6;;;;;;;;;;;;;;;;;;;;;;
0501-12;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);JB Hydraulics;20-600-20;;16001-12;10;;;;;;;;;;;;;;;;;;;;;;;
0501-16;RUBBER HOSE WITH TEXTILE 1TE LAYER (R6);Interpump;TFS0006I16;;16001-16;10;37;;;;;;;;;;;;;;;;;;;;;;
0502-04;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 1/4;Interpump;TFE02TEI04;;16001-04;10;15;;;;;;;;;;;;;;;;;;;;;;
0502-06;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 3/8;Interpump;TFE02TEI06;;16001-06;10;18,8;;;;;;;;;;;;;;;;;;;;;;
0502-08;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 1/2;Interpump;TFD02TE-08;;16001-08;10;22,6;;;;;;;;;;;;;;;;;;;;;;
0502-10;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 5/8;Interpump;TFD02TE-10;;16001-10;10;26,5;;;;;;;;;;;;;;;;;;;;;;
0502-12;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 3/4;Interpump;TFD02TE-12;;16001-12;10;28,8;;;;;;;;;;;;;;;;;;;;;;
0502-16;RUBBER HOSE WITH TEXTILE 2 LAYER 2TE 1;Interpump;TFE02TEI16;;16001-16;10;37;;;;;;;;;;;;;;;;;;;;;;
0503-04;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MB2304;;15001-04;10;;;;;;;;;;;;;;;;;;;;;;;
0503-05;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Landefeld;3 TE 8;;15001-05;10;;;;;;;;;;;;;;;;;;;;;;;
0503-06;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MB2306;;15001-06;10;;;;;;;;;;;;;;;;;;;;;;;
0503-08;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MB2308;;15001-08;10;;;;;;;;;;;;;;;;;;;;;;;
0503-10;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MB2310;;15001-10;10;;;;;;;;;;;;;;;;;;;;;;;
0503-12;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MB2312;;15001-12;10;;;;;;;;;;;;;;;;;;;;;;;
0503-16;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dicsa;MBDD2316;;15001-16;10;;;;;;;;;;;;;;;;;;;;;;;
0503-20;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dietzel;SLMW-06-20;;;;;;;;;;;;;;;;;;;;;;;;;;
0503-24;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Eriks;TE 0338;;;;;;;;;;;;;;;;;;;;;;;;;;
0503-32;RUBBER HOSE WITH TEXTILE 2 LAYER 3TE;Dietzel;48000;;;;;;;;;;;;;;;;;;;;;;;;;;
0511-12;SUCTION AND RETURN HOSE 19X29;Peters;P001279;;15001-12;10;34;;;;;;;;;;;;;;;;;;;;;;
0511-16;SUCTION AND RETURN HOSE 25X35;Peters;P001280;;13001-16MM;10;40;;;;;;;;;;;;;;;;;;;;;;
0511-20;SUCTION AND RETURN HOSE 32X42;Peters;P001284;;13001-20MM;10;48;;;;;;;;;;;;;;;;;;;;;;
0511-24;SUCTION AND RETURN HOSE 38X50;Peters;P001286;;13001-24MM;10;55,2;;;;;;;;;;;;;;;;;;;;;;
0511-32;SUCTION AND RETURN HOSE 51X62;Peters;P001291;;13001-32MM;10;68,5;;;;;;;;;;;;;;;;;;;;;;
0511-40;SUCTION AND RETURN HOSE 63X76;Peters;P001295;;;;;;;;;;;;;;;;;;;;;;;;;;
0511-48;SUCTION AND RETURN HOSE 76X90;Peters;P002545;;;;;;;;;;;;;;;;;;;;;;;;;;
0511-56;SUCTION AND RETURN HOSE 90X104;Rubaflex;TWS090S;;;;;;;;;;;;;;;;;;;;;;;;;;
0511-64;SUCTION AND RETURN HOSE 102X118;Peters;P001274;;;;;;;;;;;;;;;;;;;;;;;;;;
055LT-04;MTR POLYFLEX SLANG;Parker;1202LT-4;;;;;;;;;;;;56;14,48;24;;;;;;;;;;;;
055LT-04-04;MTR POLYFLEX SLANG;Parker;1202LT-4-4;;;;;;;;;;;;56;14,48;24;;;;;;;;;;;;
055LT-05;MTR POLYFLEX SLANG;Parker;1202LT-5;;;;;;;;;;;;56;16,00;26;;;;;;;;;;;;
055LT-06;MTR POLYFLEX SLANG;Parker;1202LT-6;;;;;;;;;;;;55;17,40;33;;;56;17,40;25;;;;;;;
055LT-06-06;MTR POLYFLEX SLANG;Parker;1202LT-6-6;;;;;;;;;;;;55;17,40;33;;;56;17,40;25;;;;;;;
055LT-08;MTR POLYFLEX SLANG;Parker;55LT-8;;;;;;;;;;;;56;21,59;28;;;;;;;;;;;;
0560-04;MTR POLYFLEX SAE100R1 560-4;Parker;560-4;;;;;;;;;;;;;;;;;;;;;;;;;;
0560-06;MTR POLYFLEX SAE100R1 560-6;Parker;560-6;;;;;;;;;;;;;;;;;;;;;;;;;;
0560-08-08;MTR POLYFLEX TWINSLANG 1/2 SAE100R1 560-8-8;Parker;560-8-8;;;;;;;;;;;;;;;;;;;;;;;;;;
0561-08;TRELLJET 561 8 L100;Trelleborg;561-08;;;;;;;;;;;;;;;;;;;;;;;;;;
0563TJ-4;TOUGH JACKET HOSE SAE 100R17 210 BAR;Coliflower;0563TJ-4;210;;;;;;;;;;;;;;;;;;;;;;;;;
0563TJ-6;TOUGH JACKET HOSE SAE 100R17 210 BAR;Coliflower;0563TJ-6;210;;;;;;;;;;;;;;;;;;;;;;;;;
0563TJ-8;TOUGH JACKET HOSE SAE 100R17 210 BAR;Coliflower;0563TJ-8;210;;;;;;;;;;;;;;;;;;;;;;;;;
0590-06;MTR POLYFLEX SLANG 3/8 SAE100R2 590-6;Parker;590TJ-6;;;;;;;;;;;;56;17,40;25;;;;;;;;;;;;
0590-06-06;MTR POLYFLEX TWINSLANG 3/8 SAE100R2 590-6-6;Parker;590-6-6;;;;;;;;;;;;56;17,40;25;;;;;;;;;;;;
0590-08;MTR POLYFLEX SLANG 1/2 SAE100R2 590-8;Parker;590-8;;;;;;;;;;;;56;20,96;28;;;;;;;;;;;;
0590-10;MTR POLYFLEX SLANG 5/8 SAE100R2 590-10;Parker;590-10;;;;;;;;;;;;56;25,65;28;;;58;25,65;43;;;;;;;
0590-12;MTR POLYFLEX SLANG 3/4 SAE100R2 590-12;Parker;590-12;;;;;;;;;;;;58;29,46;44;;;;;;;;;;;;
0590-16;MTR POLYFLEX SLANG 1 SAE100R2 590-16;Parker;590-16;;;;;;;;;;;;58;37,08;58;;;;;;;;;;;;
0590TJ-06;PARFLEX TOUGH JACKET WP28.0MPa;Parker;590TJ-6;280;;;;;;;;;;;55;17,15;33;;;;;;;;;;;;
0590TJ-08;PARFLEX TOUGH JACKET WP24.5MPa;Parker;590TJ-8;245;;;;;;;;;;;55;20,45;40;;;;;;;;;;;;
0620-06;MTR NYLAFLOW HOSE;Flowtech;0620-06;;;;;;;;;;;;;;;;;;;;;;;;;;
0620-08;MTR NYLAFLOW HOSE;Flowtech;0620-08;;;;;;;;;;;;;;;;;;;;;;;;;;
0620-10;MTR NYLAFLOW HOSE;Flowtech;0620-10;;;;;;;;;;;;;;;;;;;;;;;;;;
