artnr;artnm;Leverancier;Artikelnr leverancier;Werkdruk (bar);2delig_1 - Huls;2delig_1 - Pilaar;2delig_1 - Persmaat (mm);2delig_1 - Schilmaat intern (mm);2delig_1 - Schilmaat extern (mm);2delig_2 - Huls;2delig_2 - Pilaar;2delig_2 - Persmaat (mm);2delig_2 - Schilmaat intern (mm);2delig_2 - Schilmaat extern (mm);1delig_1;1delig_1 - Persmaat (mm);1delig_1 - Insteekdiepte (mm);1delig_1 - Schilmaat intern (mm);1delig_1 - Schilmaat extern (mm);1delig_2;1delig_2 - Persmaat (mm);1delig_2 - Insteekdiepte (mm);1delig_2 - Schilmaat intern (mm);1delig_2 - Schilmaat extern (mm);1delig_3;1delig_3 - Persmaat (mm);1delig_3 - Insteekdiepte (mm);1delig_3 - Schilmaat intern (mm);1delig_3 - Schilmaat extern (mm)
0314-05;TRELL-JETT 1 WIRE TYPE 581 DN08 W.P. 400 BAR;Parker;0314-05;400;13002-05MM;10;16,9;;;13002-05;10;16,7;;;;;;;;;;;;;;;;;
0314-06;TRELL-JETT 1 WIRE TYPE 581 DN10 W.P. 400 BAR;Trelleborg;TJ581+100DN10;400;13002-06MM;10;19,8;;;13002-06;10;18,5;;;;;;;;;;;;;;;;;
0314-08;TRELL-JETT 1 WIRE TYPE 581 DN12 W.P. 350 BAR;Trelleborg;TJ581-13 1/2 BLUE +100 2910470;350;13002-08MM;10;22,6;;;13002-08;10;22,3;;;;;;;;;;;;;;;;;
0315-05;TRELL-JETT 2 WIRE TYPE 580 DN08 W.P. 650 BAR;Trelleborg;TJ580+100DN8;650;13000-05;10;19;;23;;;;;;;;;;;;;;;;;;;;
0315-06;TRELL-JETT 2 WIRE TYPE 580 DN10 W.P. 650 BAR;Trelleborg;2910370-TJ580-10 3/8″ BLUE100+;650;13000-06;10;20,8;;24;;;;;;;;;;;;;;;;;;;;
0315-08;TRELL-JETT 2 WIRE TYPE 580 DN12 W.P. 500 BAR;Trelleborg;2910420-TJ580-13-1/2″ BLUE100+;500;13000-08;10;24,4;;26;;;;;;;;;;;;;;;;;;;;
0317-04;2SC 6.3MM (1/4) DN06 COMPACT W.P. 400 BAR BLUE;Interpump;THB002K-04;400;NTB;10;15,5;;;13000-04;10;16,8;;23;;;;;;;;;;;;;;;
0317-05;2SC 7.9MM (5/16) DN08 COMPACT W.P. 400 BAR BLUE;Interpump;TFB002KN05;400;NTB;10;17,8;;;13000-05;10;19;;23;;;;;;;;;;;;;;;
0317-06;2SC 9.5MM (3/8) DN10 COMPACT W.P. 400 BAR BLUE;Interpump;THB0021-06;400;NTB;10;20,4;;;13000-06;10;20,8;;24;;;;;;;;;;;;;;;
0317-08;2SC 12.7MM (1/2) DN12 COMPACT W.P. 400 BAR BLUE;Interpump;TCB2E42-08M005;400;13000-08;10;24,4;;26;;;;;;;;;;;;;;;;;;;;
